category,category_id,subcategory,subcateogory_id,amount,year
議会費,1,議会費,1,1164667000,2013
総務費,2,総務管理費,2,47030046000,2013
総務費,2,徴税費,3,2879285000,2013
総務費,2,戸籍住民基本台帳費,4,221891000,2013
総務費,2,選挙費,5,302883000,2013
総務費,2,統計調査費,6,97321000,2013
総務費,2,人事委員会費,7,98576000,2013
総務費,2,監査委員費,8,176220000,2013
民生費,3,社会福祉費,9,10943966000,2013
民生費,3,児童福祉費,10,35024234000,2013
民生費,3,障がい福祉費,11,15733263000,2013
民生費,3,生活保護費,12,17220212000,2013
民生費,3,老人福祉費,13,24186324000,2013
民生費,3,国民年金費,14,34861000,2013
衛生費,4,保健衛生費,15,13324864000,2013
衛生費,4,清掃費,16,12093195000,2013
労働費,5,労働諸費,17,1591432000,2013
農林水産業費,6,農業費,18,4879759000,2013
農林水産業費,6,農地費,19,1982366000,2013
農林水産業費,6,水産業費,20,592973000,2013
商工費,7,商業費,21,22601628000,2013
商工費,7,工業費,22,1589997000,2013
土木費,8,土木管理費,23,12481000,2013
土木費,8,道路橋りょう費,24,27370777000,2013
土木費,8,港湾空港費,25,433677000,2013
土木費,8,都市計画費,26,26682812000,2013
土木費,8,公園緑地費,27,3834673000,2013
土木費,8,都市排水応急対策費,28,783542000,2013
土木費,8,建築費,29,848505000,2013
土木費,8,住宅費,30,1350862000,2013
消防費,9,消防費,31,10854491000,2013
教育費,10,教育総務費,32,5900493000,2013
教育費,10,小学校費,33,5979230000,2013
教育費,10,中学校費,34,2513152000,2013
教育費,10,高等学校費,35,1365998000,2013
教育費,10,幼稚園費,36,551335000,2013
教育費,10,特別支援学校費,37,116206000,2013
教育費,10,生涯学習費,38,3429903000,2013
教育費,10,保険給食費,39,2269419000,2013
公債費,11,公債費,40,39886167000,2013
諸支出金,12,普通財産取得費,41,200060000,2013
諸支出金,12,開発公社費,42,10146254000,2013
予備費,13,予備費,43,100000000,2013
